,glom,id,weight,cell.type,connectivity.type,dataset,index,cell_name
257,VC4,11522498,0.060422961,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
258,VC5,11522498,0.03021148,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
267,VL1,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
268,VL2a,11522498,0.006042296,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
269,VL2p,11522498,0.084592145,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
270,VM1,11522498,0.009063444,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
271,VM2,11522498,0.006042296,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
272,VM3,11522498,0.048338369,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
273,VM4,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
274,VM5d,11522498,0.003021148,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
275,VM5v,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
276,VM6,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
277,VM7d,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
278,VM7v,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
279,VP1d,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
280,VP1l,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
281,VP1m,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
282,VP2,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
283,VP3,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
284,VP5,11522498,0,LHPV5a1,LHPV5a1_a,FAFB,1,LHPV5a1_a_1
293,D,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
294,DA1,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
295,DA2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
296,DA3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
297,DA4l,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
298,DA4m,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
299,DC1,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
300,DC2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
301,DC3,11522927,0.073891626,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
302,DC4,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
303,DL1,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
304,DL2d,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
305,DL2v,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
306,DL3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
307,DL4,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
308,DL5,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
309,DM1,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
310,DM2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
311,DM3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
312,DM4,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
313,DM5,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
314,DM6,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
315,DP1l,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
316,DP1m,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
317,V,11522927,0.004926108,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
318,VA1d,11522927,0.024630542,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
319,VA1v,11522927,0.123152709,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
320,VA2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
321,VA3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
322,VA4,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
323,VA5,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
324,VA6,11522927,0.004926108,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
325,VA7l,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
326,VA7m,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
327,VC1,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
328,VC2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
329,VC3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
330,VC4,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
331,VC5,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
340,VL1,11522927,0.004926108,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
341,VL2a,11522927,0.251231527,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
342,VL2p,11522927,0.270935961,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
343,VM1,11522927,0.004926108,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
344,VM2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
345,VM3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
346,VM4,11522927,0.039408867,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
347,VM5d,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
348,VM5v,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
349,VM6,11522927,0.039408867,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
350,VM7d,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
351,VM7v,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
352,VP1d,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
353,VP1l,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
354,VP1m,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
355,VP2,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
356,VP3,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
357,VP5,11522927,0,LHPV4a1,LHPV4a1,FAFB,1,LHPV4a1_1
366,D,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
367,DA1,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
368,DA2,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
369,DA3,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
370,DA4l,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
371,DA4m,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
372,DC1,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
373,DC2,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
374,DC3,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
375,DC4,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
376,DL1,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
377,DL2d,11524190,0,LHAV4a1,LHAV4a1_c,FAFB,1,LHAV4a1_c_1
